Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
France,FRA,2009,64399349,42913,186852,7482,69840
France,FRA,2010,64726612,62926,146125,32042,58507
France,FRA,2011,65071033,116855,111079,18237,23628
France,FRA,2012,65336649,94253,161706,25032,40020
France,FRA,2013,65816978,43702,52248,30471,54533
France,FRA,2014,66119649,61853,102926,8289,19351
France,FRA,2015,66251333,55956,100936,43429,96618
France,FRA,2016,66487363,46651,108088,38826,43176
France,FRA,2017,66755579,83194,57995,8883,12369
France,FRA,2018,67010972,51529,47301,34334,14216
France,FRA,2019,66959827,143386,200868,43316,34667
France,FRA,2020,67214339,89192,152598,67312,77671
France,FRA,2021,67333364,110039,273572,77959,47874
France,FRA,2022,67668580,156240,163979,38879,37338
France,FRA,2023,67980132,112598,137214,9932,47612
Gabon,GAB,2005,484631,145438,536913,162234,134279
Gabon,GAB,2017,1231461,216449,536216,90586,82188
Gambia,GMB,1998,36433,15285,130694,120443,1074132
Gambia,GMB,2003,109802,53173,324156,225755,877398
Gambia,GMB,2010,197153,91685,621559,359828,660977
Gambia,GMB,2015,302021,175107,920453,461883,383430
Gambia,GMB,2020,343888,205014,957369,459714,554570
Georgia,GEO,1996,1299224,499252,1673967,470909,548347
Georgia,GEO,1997,596256,295588,1515513,713856,1228700
Georgia,GEO,1998,554340,299145,1553405,699419,1137298
Georgia,GEO,1999,411832,227789,1389903,767805,1359863
Georgia,GEO,2000,378684,191759,1313645,764655,1428388
Georgia,GEO,2001,321324,174035,1227591,817152,1474271
Georgia,GEO,2002,563684,281858,1555019,690830,887124
Georgia,GEO,2003,572556,284460,1511069,703010,880641
Georgia,GEO,2004,602994,300284,1565694,636051,822317
Georgia,GEO,2005,589817,295873,1488224,657281,871274
Georgia,GEO,2006,556730,279327,1491068,681049,872173
Georgia,GEO,2007,519959,258086,1456384,703355,922374
Georgia,GEO,2008,622932,278669,1482033,631160,833655
Georgia,GEO,2009,606596,282869,1456359,661889,806706
Georgia,GEO,2010,599250,284880,1405711,602518,894336
Georgia,GEO,2011,637691,277279,1442166,586993,812312
Georgia,GEO,2012,737912,303898,1417194,569507,700363
Georgia,GEO,2013,897867,343608,1397661,524989,553543
Georgia,GEO,2014,947063,361495,1477244,485961,447651
Georgia,GEO,2015,997569,378791,1461147,492761,395008
Georgia,GEO,2016,976105,366332,1519894,474856,390318
Georgia,GEO,2017,1043261,391448,1421475,459303,412517
Georgia,GEO,2018,1025678,389622,1476586,425074,409589
Georgia,GEO,2019,1005126,391722,1510133,452224,360956
Georgia,GEO,2020,838675,413959,1531112,493125,445845
Georgia,GEO,2021,879950,431955,1570188,426357,400160
Georgia,GEO,2022,1168205,443346,1438480,375373,287098
Georgia,GEO,2023,1404142,488130,1302252,304469,216490
Georgia,GEO,2024,1525731,471717,1272088,248937,155377
Germany,DEU,1991,79826957,0,186939,0,0
Germany,DEU,1992,80229137,206731,0,0,188732
Germany,DEU,1993,80962234,0,194126,0,0
Germany,DEU,1994,80627409,269259,380706,0,160978
Germany,DEU,1995,81067352,222028,187383,0,201285
Germany,DEU,1996,81510850,202871,0,201111,0
Germany,DEU,1997,81626948,0,206248,201572,0
Germany,DEU,1998,81845850,0,0,201342,0
Germany,DEU,1999,81696913,204993,0,198334,0
Germany,DEU,2000,81834101,185715,0,191688,0
Germany,DEU,2001,81950836,194981,0,204111,0
Germany,DEU,2002,82087559,195932,205005,0,0
Germany,DEU,2003,82125758,0,219227,0,189191
Germany,DEU,2004,82105494,0,410762,0,0
Germany,DEU,2005,82061225,205139,0,203060,0
Germany,DEU,2006,82184959,0,191489,0,0
Germany,DEU,2007,82067495,0,198873,0,0
Germany,DEU,2008,81703954,204518,0,201624,0
Germany,DEU,2009,81497925,201497,202882,0,0
Germany,DEU,2010,81371560,204102,0,201266,0
Germany,DEU,2011,80082564,0,192420,0,0
Germany,DEU,2012,80229334,0,196490,0,0
Germany,DEU,2013,80449567,0,196041,0,0
Germany,DEU,2014,80582615,0,197853,202028,0
Germany,DEU,2015,81281499,203968,201141,0,0
Germany,DEU,2016,81940669,205606,0,202397,0
Germany,DEU,2017,82039380,207462,208097,0,202061
Germany,DEU,2018,82510479,0,189922,205383,0
Germany,DEU,2019,82470236,210827,204514,0,207383
Germany,DEU,2020,82577978,191164,188987,0,202743
Ghana,GHA,1987,132191,102396,1188123,1727440,11312688
Ghana,GHA,1988,169115,110867,1266068,1798168,11477472
Ghana,GHA,1991,173770,95722,1289646,1598116,12920314
Ghana,GHA,1998,441197,295802,3053706,2713771,12266690
Ghana,GHA,2005,901172,442698,3980342,3611394,13909978
Ghana,GHA,2012,2513591,1208455,7239260,4910977,11383525
Ghana,GHA,2016,2965456,1400845,8677725,5154002,11647424
Greece,GRC,1995,9455807,420552,449072,26194,210528
Greece,GRC,2000,10215872,240287,269065,55055,25529
Greece,GRC,2002,10440519,134864,247169,53113,26357
Greece,GRC,2003,10582088,101359,164618,18893,61112
Greece,GRC,2004,10559249,157002,127173,11777,99940
Greece,GRC,2005,10635705,87018,198003,17469,49119
Greece,GRC,2006,10602826,121870,193065,30613,71988
Greece,GRC,2007,10729357,94026,138324,18554,68212
Greece,GRC,2008,10762657,117146,138142,19457,40439
Greece,GRC,2009,10760978,102418,168240,4440,70941
Greece,GRC,2010,10644530,116899,206525,34757,118630
Greece,GRC,2011,10075866,316238,466366,83115,163314
Greece,GRC,2012,9629676,425009,645215,108798,236313
Greece,GRC,2013,9455820,381875,819241,141134,167141
Greece,GRC,2014,9455930,401740,664892,155518,214333
Greece,GRC,2015,9381786,443354,658398,122916,214429
Greece,GRC,2016,9505727,412393,625935,81914,150002
Greece,GRC,2017,9657045,358694,559704,63974,115262
Greece,GRC,2018,9854340,333347,511967,16069,17159
Greece,GRC,2019,9938369,264694,370883,43348,104288
Greece,GRC,2020,9889861,266817,371738,52891,117292
Greece,GRC,2021,9960927,226779,256045,51321,74135
Greece,GRC,2022,9874330,184161,268924,44345,65122
Greece,GRC,2023,9839454,236510,244704,23081,61839
Grenada,GRD,2018,81749,11331,19308,2518,889
Guatemala,GTM,1986,1045135,345432,1836738,1078360,3877987
Guatemala,GTM,1989,2095600,508719,2107974,980579,3082674
Guatemala,GTM,1998,5044250,899264,2764513,939586,1491532
Guatemala,GTM,2000,5901516,921380,3038250,807486,1028960
Guatemala,GTM,2006,7016224,979421,2938753,1027397,1405664
Guatemala,GTM,2014,7106483,1551331,4379296,1396171,1248444
Guatemala,GTM,2023,7767900,1780688,5383411,1441808,1751031
Guinea,GIN,1991,0,0,435718,477173,5784275
Guinea,GIN,1994,913266,361139,2071246,1258353,2757754
Guinea,GIN,2002,545104,247498,1988345,1556110,4386188
Guinea,GIN,2007,710668,371211,2493007,1833487,4253908
Guinea,GIN,2012,1089971,674188,4497600,2337946,2321876
Guinea,GIN,2018,1816094,1192778,6105589,2255738,1499361
Guinea-Bissau,GNB,1991,103273,38085,217339,130367,505575
Guinea-Bissau,GNB,1993,56492,26636,226228,190205,559184
Guinea-Bissau,GNB,2002,19472,11312,171565,207314,879644
Guinea-Bissau,GNB,2010,61121,19437,149252,150714,1185823
Guinea-Bissau,GNB,2018,120896,83220,584546,432792,720291
Guinea-Bissau,GNB,2021,97697,81896,614494,465135,834635
Guyana,GUY,1992,82328,41840,249432,127759,250079
Guyana,GUY,1998,275175,74575,249326,65160,99350
Haiti,HTI,2001,398371,147004,849039,710421,6351083
Haiti,HTI,2012,781668,243069,1451491,1038379,6555164
Honduras,HND,1989,612250,193190,1022935,617528,2395935
Honduras,HND,1990,551738,185026,1028470,641686,2573568
Honduras,HND,1991,682232,232587,1250534,843883,2114556
Honduras,HND,1992,788661,281228,1442105,835972,1923465
Honduras,HND,1993,1051776,361846,1515213,797221,1697193
Honduras,HND,1994,1148029,327086,1517015,749381,1837731
Honduras,HND,1995,1155637,271192,1511866,825256,1975686
Honduras,HND,1996,1048204,308974,1506554,787404,2252818
Honduras,HND,1997,1413463,415290,1794651,777257,1670793
Honduras,HND,1998,1505197,421499,1668426,625214,2014095
Honduras,HND,1999,1489485,376750,1755574,722729,2055925
Honduras,HND,2001,2247888,464376,1631864,620144,1793721
Honduras,HND,2002,1935900,438034,1762019,793773,2009133
Honduras,HND,2003,1775182,422623,1695109,805734,2420565
Honduras,HND,2004,1894029,451423,1712481,810946,2430115
Honduras,HND,2005,2105840,432732,1825782,770298,2343703
Honduras,HND,2006,2477058,527219,1821161,740567,2090827
Honduras,HND,2007,2708759,542343,2062243,796712,1724741
Honduras,HND,2008,2960763,594685,2014331,769791,1673017
Honduras,HND,2009,3195910,664225,2074099,776404,1479261
Honduras,HND,2010,3112160,608538,2173507,835438,1636235
Honduras,HND,2011,3069958,669819,2256492,829019,1715295
Honduras,HND,2012,2728606,670531,2240052,987013,2088874
Honduras,HND,2013,2967878,669778,2474575,928659,1848388
Honduras,HND,2014,3050526,740326,2455334,950387,1866549
Honduras,HND,2015,3138128,743479,2526287,988080,1841331
Honduras,HND,2016,3473282,725645,2379222,966623,1867608
Honduras,HND,2017,3403824,781173,2609020,940977,1853143
Honduras,HND,2018,3525725,758292,2628660,914505,1938028
Honduras,HND,2019,3815053,709797,2591482,959983,1867318
Honduras,HND,2023,4164160,801893,2846526,1020383,1811889
Honduras,HND,2024,4434805,1002796,2847097,839489,1701516
Honduras (urban),,1986,133467,48211,297943,211494,1013659
Hungary,HUN,1987,10430520,182221,0,0,0
Hungary,HUN,1989,4472025,1889855,4097513,22326,0
Hungary,HUN,1991,9000450,423947,647451,69179,232373
Hungary,HUN,1993,8088293,1080601,1188629,0,0
Hungary,HUN,1994,7939423,907223,1161580,137243,197886
Hungary,HUN,1999,7605112,1020915,1468073,69630,73800
Hungary,HUN,2004,8523826,628972,895433,32317,26598
Hungary,HUN,2005,8414941,620310,873460,75438,102916
Hungary,HUN,2006,8900682,460659,666660,23232,20137
Hungary,HUN,2007,8788778,573516,637444,31376,24666
Hungary,HUN,2008,8842537,522413,640802,23428,9008
Hungary,HUN,2009,8697114,552870,738275,23092,11299
Hungary,HUN,2010,8601411,498871,854869,28184,16688
Hungary,HUN,2011,8602806,496619,803673,51610,17019
Hungary,HUN,2012,8214663,559656,1002424,96415,47204
Hungary,HUN,2013,8246907,583303,922188,74833,45503
Hungary,HUN,2014,8424454,594124,677906,40052,96502
Hungary,HUN,2015,8554934,619895,472082,55901,94943
Hungary,HUN,2016,9014948,327798,216676,46785,153548
Hungary,HUN,2017,8988997,256320,309542,82610,89287
Iceland,ISL,2003,287576,831,845,160,109
Iceland,ISL,2004,290408,387,782,0,497
Iceland,ISL,2005,295075,981,266,302,110
Iceland,ISL,2006,302136,251,550,285,560
Iceland,ISL,2007,310532,145,479,159,251
Iceland,ISL,2008,316429,349,443,0,193
Iceland,ISL,2009,316969,578,642,0,310
Iceland,ISL,2010,315760,490,1083,233,475
Iceland,ISL,2011,316219,306,1801,87,601
Iceland,ISL,2012,318687,638,1026,257,108
Iceland,ISL,2013,322890,328,260,0,286
Iceland,ISL,2014,326286,468,458,174,0
Iceland,ISL,2015,329984,214,503,0,114
Iceland,ISL,2016,334696,87,388,268,0
Iceland,ISL,2017,342900,263,175,62,0
Iceland,ISL,2018,349998,563,1104,110,946
Iceland,ISL,2019,358345,942,799,189,288
India,IND,1977,10285703,6469232,94258946,150233367,387017392
India,IND,1983,11224692,9562779,141516858,199988039,375080304
India,IND,1987,14274961,10104695,149608085,220515870,423633541
India,IND,1993,12532652,12661371,196565853,267513488,442367724
India,IND,2004,23635886,18273906,250002409,321709955,531711732
India,IND,2009,34226430,27936557,356868733,388634835,426836613
India,IND,2011,54890990,40547941,442026882,388013952,344469931
India,IND,2022,142203493,114816191,833419289,267075870,75243301
Indonesia,IDN,1984,556333,668643,8160563,13067365,140798216
Indonesia,IDN,1987,678854,662068,8107097,13442913,150620220
Indonesia,IDN,1990,1506424,1254807,14674912,21860292,144204669
Indonesia,IDN,1993,1976637,1275012,15961591,23308326,150783602
Indonesia,IDN,1996,3929556,2424795,25948851,32425374,138475776
Indonesia,IDN,1998,1079724,834957,13272408,20835442,173804253
Indonesia,IDN,1999,2552887,1917856,27201807,40302753,141029369
Indonesia,IDN,2000,3106936,2081311,28643546,40332061,141913938
Indonesia,IDN,2001,4111471,2835647,32632591,43083062,136435133
Indonesia,IDN,2002,6959539,4469353,48372256,58263121,104024227
Indonesia,IDN,2003,5814794,4474222,54239572,58013172,102506240
Indonesia,IDN,2004,6961557,4954152,52637636,59861801,103511510
Indonesia,IDN,2005,7451208,5042823,60030315,63473363,94873939
Indonesia,IDN,2006,6204038,4908181,54810343,58471304,109557782
Indonesia,IDN,2007,10791475,6655845,63179599,59057717,97377700
Indonesia,IDN,2008,11080231,7205045,69560655,61039689,91272284
Indonesia,IDN,2009,11694780,7473095,68791284,63141642,92119231
Indonesia,IDN,2010,16960672,10396837,79219095,55736429,83992295
Indonesia,IDN,2011,23697058,11667663,80501502,55743708,77860101
Indonesia,IDN,2012,26188927,12356539,87983827,59006357,67162878
Indonesia,IDN,2013,31645006,12939987,84109092,57652088,69506291
Indonesia,IDN,2014,32108453,14403965,88853363,57080781,66430830
Indonesia,IDN,2015,32205793,15063835,100812369,57204994,56512257
Indonesia,IDN,2016,39518128,19951392,102679986,54722021,47755897
Indonesia,IDN,2017,47661143,21449922,107119552,51664382,39451657
Indonesia,IDN,2018,53887563,23801153,110602271,48011102,33649751
Indonesia,IDN,2019,55433422,25227982,114841846,47422333,29563793
Indonesia,IDN,2020,58646742,25478781,118228943,45397275,27063139
Indonesia,IDN,2021,61327685,25804960,122759242,43163398,23702763
Indonesia,IDN,2022,57734078,25001721,129965927,44230471,21898331
Indonesia,IDN,2023,59388518,25959039,134140205,42817124,18885194
Indonesia,IDN,2024,62149498,27848796,137121701,40951546,15416395
Iran,IRN,1986,12904726,4004047,16523439,6793450,11220382
Iran,IRN,1990,12587333,4613193,20317441,8244436,12617689
Iran,IRN,1994,16812963,5507943,21522366,7981066,9696262
Iran,IRN,1998,19979863,5777109,21227035,7755932,9779921
Iran,IRN,2005,37967294,7024410,19456096,4518059,3222381
Iran,IRN,2006,38650454,6865933,19856861,5012281,3285495
Iran,IRN,2009,41314505,7085581,20232796,4262363,3784075
Iran,IRN,2011,39031256,9507292,24407857,3889267,1774928
Iran,IRN,2012,39954846,10064246,24606655,3578169,1406812
Iran,IRN,2013,38051672,10520142,26550187,4008738,1534037
Iran,IRN,2014,36562197,10784672,27209173,4506415,2696567
Iran,IRN,2015,37917941,10615855,27410855,4468242,2480827
Iran,IRN,2016,38527642,10517837,27838261,4709004,2498824
Iran,IRN,2017,42013466,10319295,26076811,4593532,2274640
Iran,IRN,2018,39684425,10278126,28319449,5330624,2720112
Iran,IRN,2019,35212367,10637627,30844454,6779060,3732652
Iran,IRN,2020,35028516,10315759,31788964,6678331,4080246
Iran,IRN,2021,40029912,10736267,28978369,5667105,3289651
Iran,IRN,2022,43836732,10935740,27662491,4820282,2518427
Iran,IRN,2023,46530579,11557267,25897774,4584466,2259202
Iraq,IRQ,2006,14030221,4382963,9255826,594295,162039
Iraq,IRQ,2012,18120662,4767453,9712047,866505,188173
Iraq,IRQ,2023,25748630,6712501,11547479,817787,247651
Ireland,IRL,1987,2744874,291498,424213,35390,44082
Ireland,IRL,1994,3289805,168342,114595,0,17644
Ireland,IRL,1995,3315290,149684,126039,0,17828
Ireland,IRL,1996,3410268,136673,82420,0,8149
Ireland,IRL,2000,3739229,39331,19830,0,6784
Ireland,IRL,2002,3844909,29257,38719,9820,9242
Ireland,IRL,2003,3940304,28051,18471,677,9018
Ireland,IRL,2004,4032222,10849,22954,779,3458
Ireland,IRL,2005,4124855,23244,4734,4473,2608
Ireland,IRL,2006,4220055,23416,8456,1491,20173
Ireland,IRL,2007,4367304,5160,16458,4331,5689
Ireland,IRL,2008,4438346,7117,27147,7923,9011
Ireland,IRL,2009,4432878,22351,42193,11758,26195
Ireland,IRL,2010,4445679,21936,47718,10674,34148
Ireland,IRL,2011,4465749,29171,43187,11142,30835
Ireland,IRL,2012,4505791,20235,39206,9558,24743
Ireland,IRL,2013,4513872,20104,41447,14130,34263
Ireland,IRL,2014,4578914,19600,30794,7685,20747
Ireland,IRL,2015,4647963,10718,18155,5006,20115
Ireland,IRL,2016,4703822,14489,18969,9238,16204
Ireland,IRL,2017,4792594,5923,12090,2160,14678
Ireland,IRL,2018,4891254,0,1933,0,4835
Ireland,IRL,2019,4962538,3084,6942,1088,2804
Ireland,IRL,2020,5017918,11055,632,943,9199
Ireland,IRL,2021,5095413,1056,6032,1382,6702
Ireland,IRL,2022,5192711,2144,7416,95,10470
Ireland,IRL,2023,5290525,3228,9479,0,4368
Israel,ISR,1979,2999250,291674,452910,27805,14361
Israel,ISR,1986,3396495,301785,549022,31092,20606
Israel,ISR,1992,4483002,269582,345878,13507,11031
Israel,ISR,1997,4975300,337298,451054,45134,27214
Israel,ISR,2001,5666864,339712,385375,31017,16032
Israel,ISR,2002,5470215,311938,657716,81024,49107
Israel,ISR,2003,5519968,419958,601087,85933,62754
Israel,ISR,2004,5550746,390375,699707,102041,66131
Israel,ISR,2005,5788537,312104,709241,52877,67341
Israel,ISR,2006,5890479,353265,705511,69219,35226
Israel,ISR,2007,6176341,323358,573081,72007,35313
Israel,ISR,2008,6288362,346253,549137,71123,53925
Israel,ISR,2009,6363213,356434,603408,107199,55346
Israel,ISR,2010,6540827,302004,668791,76894,35084
Israel,ISR,2011,6720875,328721,580522,114761,20921
Israel,ISR,2012,6961680,276735,553563,59540,58982
Israel,ISR,2013,7213363,302307,443861,61721,38248
Israel,ISR,2014,7394959,228597,489616,42506,60022
Israel,ISR,2015,7542877,272307,481938,41593,41385
Israel,ISR,2016,7820520,234214,405997,43980,41289
Israel,ISR,2017,8019310,216559,368734,45629,63068
Israel,ISR,2018,8285598,198606,310349,24581,63666
Israel,ISR,2019,8377287,201772,340440,44173,90328
Israel,ISR,2020,8570174,235293,319137,21713,68783
Israel,ISR,2021,8763885,209682,304588,25701,67544
Italy,ITA,1977,51203481,1957225,2238625,427907,128174
Italy,ITA,1978,52507499,1131251,1957824,287168,271402
Italy,ITA,1979,52391167,1534333,1854056,263172,275020
Italy,ITA,1980,54181294,704845,1284593,135122,128030
Italy,ITA,1981,54389223,843894,996527,164599,107433
Italy,ITA,1982,55004957,703781,702415,0,132395
Italy,ITA,1983,54584973,863141,992517,0,123441
Italy,ITA,1984,54327061,991792,988599,130118,139150
Italy,ITA,1986,54195475,847067,1289847,124031,139736
Italy,ITA,1987,54054878,713974,1166622,0,666458
Italy,ITA,1989,55826376,430006,293373,122025,0
Italy,ITA,1991,55347039,421151,730126,130233,129971
Italy,ITA,1993,53576088,706498,1414713,315753,818768
Italy,ITA,1995,53151237,1331314,1794489,144372,422892
Italy,ITA,1998,53494081,997486,1141145,282465,991567
Italy,ITA,2000,54387996,570562,989729,282320,711501
Italy,ITA,2002,54822366,450169,818918,0,998371
Italy,ITA,2003,55703055,376509,673824,139754,506042
Italy,ITA,2004,56410807,382580,490859,86697,457237
Italy,ITA,2005,56654865,301221,607926,139534,463134
Italy,ITA,2006,57051193,306736,489544,105779,446608
Italy,ITA,2007,57399462,269695,459853,164119,463119
Italy,ITA,2008,57652818,407044,524562,121920,504836
Italy,ITA,2009,57844598,390024,553266,124921,642647
Italy,ITA,2010,57584771,485823,787859,117229,843726
Italy,ITA,2011,57865164,497746,768845,135868,759217
Italy,ITA,2012,57742089,509797,838880,250851,849631
Italy,ITA,2013,57712726,534729,830107,261113,972937
Italy,ITA,2014,57639219,677252,897236,233067,873934
Italy,ITA,2015,57297912,493762,898479,304571,1234880
Italy,ITA,2016,57557015,440327,764384,284712,1068786
Italy,ITA,2017,57450587,471303,951641,203981,924740
Italy,ITA,2018,57705864,459706,718050,241523,1023513
Italy,ITA,2019,57588238,393394,999158,130086,618204
Italy,ITA,2020,57459475,571764,688052,198626,520935
Italy,ITA,2021,57792749,312311,456330,58729,513053
Italy,ITA,2022,57721341,335849,515690,36596,404192
Italy,ITA,2023,57501586,362120,519014,63753,547003
Jamaica,JAM,1988,704296,227752,817667,273166,322896
Jamaica,JAM,1990,642016,208952,906008,346056,276845
Jamaica,JAM,1993,335639,180191,1018601,412272,503213
Jamaica,JAM,1996,719978,284722,999629,311031,209103
Jamaica,JAM,1999,1137427,284676,825402,194116,148174
Jamaica,JAM,2002,1161835,247649,840637,221217,169234
Jamaica,JAM,2004,1232543,256441,862640,199263,121338
Jamaica,JAM,2018,2035348,268129,460381,44257,11982
Jamaica,JAM,2021,1940805,248427,503045,106048,39357
Japan,JPN,2008,121991167,1277302,2558111,973898,1262522
Japan,JPN,2009,122928542,1007762,2217855,797217,1095624
Japan,JPN,2010,124360252,1151386,1280377,395673,882312
Japan,JPN,2011,123064398,1342880,1829769,984927,611026
Japan,JPN,2012,123495345,1067064,1155089,0,1911502
Japan,JPN,2013,122047744,628643,3194395,351410,1222808
Japan,JPN,2014,124425977,670228,1017225,216537,946033
Japan,JPN,2015,123970936,651344,1762378,243901,512441
Japan,JPN,2016,122963586,747948,1891650,539007,933809
Japan,JPN,2017,123965292,486723,941198,781035,797752
Japan,JPN,2018,121451996,1239545,1917214,956140,1246105
Japan,JPN,2019,120941159,1000598,2507702,636789,1546752
Japan,JPN,2020,121332666,878357,2167996,350290,1531691
Jordan,JOR,1986,2054242,292455,632063,0,0
Jordan,JOR,1992,1956939,439558,1292216,392048,46932
Jordan,JOR,1997,2239188,654907,1787848,364342,0
Jordan,JOR,2002,3108331,714625,1620200,177178,58613
Jordan,JOR,2006,4255291,774343,1344244,90733,18740
Jordan,JOR,2008,4664924,919697,1348308,72946,8293
Jordan,JOR,2010,5389926,827598,1056433,59453,7644
Kazakhstan,KAZ,1993,2914379,1583207,7639988,2607411,2529503
Kazakhstan,KAZ,1996,3487423,1519217,6472061,2537718,2399608
Kazakhstan,KAZ,2001,2279336,1241855,6093083,2740510,3220766
Kazakhstan,KAZ,2002,2528716,1295767,6483784,2811428,2536982
Kazakhstan,KAZ,2003,3050883,1508968,6665184,2590812,1931533
Kazakhstan,KAZ,2004,3332257,1695583,7287798,2336927,1197594
Kazakhstan,KAZ,2005,4237694,1395926,5688359,2320423,2325715
Kazakhstan,KAZ,2006,4922346,2216253,7518396,1062672,384049
Kazakhstan,KAZ,2007,6789241,2435661,6287420,573836,171056
Kazakhstan,KAZ,2008,6911182,2565332,6370092,450586,129333
Kazakhstan,KAZ,2009,6918162,2536484,6463554,572569,129077
Kazakhstan,KAZ,2010,7847069,2678270,5802877,420692,87902
Kazakhstan,KAZ,2011,10369083,2618541,3884707,154018,39653
Kazakhstan,KAZ,2012,10729166,2496503,3915110,140046,25281
Kazakhstan,KAZ,2013,11838880,2555145,3076043,73264,13170
Kazakhstan,KAZ,2014,11673597,2702467,3344950,82805,12465
Kazakhstan,KAZ,2015,11172143,2904914,3875314,112820,18977
Kazakhstan,KAZ,2016,10042974,2979158,5096244,214123,31101
Kazakhstan,KAZ,2017,11260417,2982467,4267646,119864,21538
Kazakhstan,KAZ,2018,12360074,3016580,3455329,89171,11574
Kazakhstan,KAZ,2019,12453145,3053367,3602196,85543,15305
Kazakhstan,KAZ,2020,12702298,3159853,3543375,69295,7295
Kazakhstan,KAZ,2021,13560519,3191366,2923325,60462,7932
Kenya,KEN,1992,4659976,1439053,6933396,3538627,7811408
Kenya,KEN,1994,2974842,1354027,8452459,4802842,8272960
Kenya,KEN,1997,3539330,1468633,8896356,5042428,9155021
Kenya,KEN,2005,3278291,1259351,9267063,6275041,16137598
Kenya,KEN,2015,4584840,2216478,13821739,9174844,17994903
Kenya,KEN,2020,3104176,1570596,13263095,11080499,23198970
Kenya,KEN,2021,3124541,1487817,12489801,11396786,24720223
Kenya,KEN,2022,3327370,1657909,13182969,11037789,25774407
Kiribati,KIR,2006,11824,5510,42712,18686,21285
Kiribati,KIR,2019,18614,12663,65835,19760,7637
Kosovo,OWID_KOS,2017,741500,162945,489283,124776,272515
Kosovo,OWID_KOS,2018,633903,179740,478413,132850,372180
Kosovo,OWID_KOS,2019,913409,191218,403437,78417,202410
Kosovo,OWID_KOS,2020,957860,136224,309852,85813,300402
Kosovo,OWID_KOS,2021,813715,132153,333182,60852,446177
Kosovo,OWID_KOS,2022,910368,181864,413084,86345,176435
Kyrgyzstan,KGZ,2000,44932,71612,720241,820195,3241382
Kyrgyzstan,KGZ,2001,57803,57007,877576,910963,3041724
Kyrgyzstan,KGZ,2002,69229,55658,920150,1045185,2900482
Kyrgyzstan,KGZ,2003,50180,95417,1045119,996177,2856415
Kyrgyzstan,KGZ,2004,482051,190034,1666390,1105184,1661054
Kyrgyzstan,KGZ,2005,258969,194166,1542760,1278606,1888139
Kyrgyzstan,KGZ,2006,618582,323860,1799681,1119304,1356946
Kyrgyzstan,KGZ,2007,534056,299801,2019294,1185318,1229916
Kyrgyzstan,KGZ,2008,604455,429982,2457090,1092558,734644
Kyrgyzstan,KGZ,2009,661181,410775,2629304,1159399,528984
Kyrgyzstan,KGZ,2010,579970,375221,2712098,1110905,688865
Kyrgyzstan,KGZ,2011,524581,389298,2863784,1250440,518484
Kyrgyzstan,KGZ,2012,473737,361495,2977927,1245118,593799
Kyrgyzstan,KGZ,2013,510782,351043,2765217,1371719,778389
Kyrgyzstan,KGZ,2014,526094,412219,3151353,1340132,476050
Kyrgyzstan,KGZ,2015,521917,376498,3053305,1424525,663791
Kyrgyzstan,KGZ,2016,603902,402864,3324161,1352070,492341
Kyrgyzstan,KGZ,2017,592534,448100,3344301,1405005,516756
Kyrgyzstan,KGZ,2018,746645,521683,3499708,1295295,380748
Kyrgyzstan,KGZ,2019,812602,579056,3668402,1205931,324220
Kyrgyzstan,KGZ,2020,732275,527451,3324765,1510832,631273
Kyrgyzstan,KGZ,2021,938365,645418,3669813,1210638,386990
Kyrgyzstan,KGZ,2022,939790,680601,3815931,1221574,317324
Kyrgyzstan,KGZ,2023,1215637,765784,3957002,966544,194783
Laos,LAO,1992,252955,124066,1217157,1058521,1932030
Laos,LAO,1997,137361,91356,801426,935681,3205438
Laos,LAO,2002,224910,135877,1415038,1427316,2429512
Laos,LAO,2007,382569,211686,1768224,1530009,2185076
Laos,LAO,2012,787974,356919,2573425,1403713,1420049
Laos,LAO,2018,1259700,515393,2890501,1385256,1123223
Latin America and Caribbean (WB),,1990,157241910,30466196,116124400,45761638,91364000
Latin America and Caribbean (WB),,1991,160802814,31915696,119892433,46397677,90120372
Latin America and Caribbean (WB),,1992,161135217,33206065,124574179,46001047,92328740
Latin America and Caribbean (WB),,1993,166060264,33199677,124257274,48077407,93731106
Latin America and Caribbean (WB),,1994,173516840,34764871,124737876,48178304,92130717
Latin America and Caribbean (WB),,1995,179795022,36115011,126866399,49344635,89187957
Latin America and Caribbean (WB),,1996,181321125,34354084,127489104,48822150,97248609
Latin America and Caribbean (WB),,1997,189710593,34696876,127279206,48816440,96593877
Latin America and Caribbean (WB),,1998,195354899,35264089,129746311,47742039,96845238
Latin America and Caribbean (WB),,1999,193392593,36913832,132106826,50537862,99779863
Latin America and Caribbean (WB),,2000,206283801,37421495,134085336,48312577,94168919
Latin America and Caribbean (WB),,2001,211507560,39181342,133221288,49254093,94408293
Latin America and Caribbean (WB),,2002,213273511,39607717,138384810,51979499,91446047
Latin America and Caribbean (WB),,2003,219349577,40466992,141623072,50429427,89774324
Latin America and Caribbean (WB),,2004,229019497,42026022,144033135,49577641,83799257
Latin America and Caribbean (WB),,2005,246403776,42095377,140380623,47222957,79018035
